EmpID,Attrition
RM1226,No
RM1244,No
RM1315,No
RM1347,No
RM1363,No
RM1455,No
RM030,No
RM049,No
RM080,No
RM090,No
RM094,No
RM179,No
RM210,No
RM264,No
RM366,No
RM413,No
RM430,No
RM434,No
RM466,No
RM724,No
RM771,No
RM779,No
RM811,No
RM862,No
RM870,No
RM878,No
RM917,No
RM944,No
RM1032,No
RM1081,No
RM1136,No
RM1232,No
RM1236,No
RM1278,No
RM1286,No
RM1299,No
RM1323,No
RM1328,No
RM1334,No
RM272,No
RM330,No
RM348,No
RM429,No
RM533,No
RM545,No
RM567,No
RM593,No
RM652,No
RM666,No
RM708,No
RM720,No
RM1021,No
RM1025,No
RM1068,No
RM1155,No
RM1195,No
RM1224,No
RM1235,No
RM1304,No
RM1322,No
RM1371,No
RM1415,No
RM1422,No
RM051,No
RM353,No
RM445,No
RM493,No
RM521,No
RM679,No
RM736,No
RM737,No
RM805,No
RM902,No
RM905,No
RM970,No
RM1039,No
RM1104,No
RM1115,No
RM1167,No
RM1205,No
RM1332,No
RM1352,No
RM002,No
RM130,No
RM202,No
RM291,No
RM317,No
RM376,No
RM474,No
RM608,No
RM640,No
RM678,No
RM822,No
RM900,No
RM1007,No
RM1045,No
RM1055,No
RM1072,No
RM1148,No
RM1177,No
RM1182,No
RM1193,No
RM1196,No
RM1255,No
RM1378,No
RM1469,No
RM037,No
RM063,No
RM107,No
RM132,No
RM166,No
RM184,No
RM234,No
RM280,No
RM368,No
RM426,No
RM478,No
RM524,No
RM529,No
RM540,No
RM589,No
RM654,No
RM715,No
RM722,No
RM743,No
RM752,No
RM767,No
RM802,No
RM868,No
RM946,No
RM1087,No
RM1127,No
RM1139,No
RM1178,No
RM1453,No
RM1462,No
RM088,No
RM092,No
RM111,No
RM124,No
RM137,No
RM157,No
RM190,No
RM214,No
RM259,No
RM300,No
RM377,No
RM617,No
RM780,No
RM919,No
RM931,No
RM963,No
RM972,No
RM988,No
RM1276,No
RM191,No
RM231,No
RM238,No
RM318,No
RM407,No
RM409,No
RM469,No
RM562,No
RM571,No
RM588,No
RM628,No
RM700,No
RM750,No
RM807,No
RM948,No
RM995,No
RM1001,No
RM1435,No
RM019,No
RM026,No
RM153,No
RM185,No
RM281,No
RM503,No
RM535,No
RM557,No
RM625,No
RM647,No
RM650,No
RM702,No
RM761,No
RM859,No
RM1044,No
RM1112,No
RM1204,No
