EmpID,Attrition
RM297,No
RM302,No
RM458,No
RM728,No
RM829,No
RM973,No
RM1154,No
RM1312,No
RM128,No
RM150,No
RM172,No
RM178,No
RM423,No
RM689,No
RM854,No
RM893,No
RM910,No
RM103,No
RM488,No
RM514,No
RM663,No
RM690,No
RM732,No
RM777,No
RM857,No
RM877,No
RM1179,No
RM1198,No
RM024,No
RM275,No
RM358,No
RM363,No
RM371,No
RM497,No
RM664,No
RM778,No
RM816,No
RM916,No
RM1153,No
RM1272,No
RM1437,No
RM018,No
RM110,No
RM129,No
RM161,No
RM207,No
RM384,No
RM444,No
RM499,No
RM631,No
RM667,No
RM735,No
RM861,No
RM1138,No
RM1274,No
RM1340,No
RM1424,No
RM087,No
RM346,No
RM517,No
RM551,No
RM566,No
RM586,No
RM911,No
RM1083,No
RM1128,No
RM1202,No
RM1214,No
RM1239,No
RM1409,No
RM1439,No
RM021,No
RM035,No
RM097,No
RM114,No
RM381,No
RM415,No
RM471,No
RM475,No
RM477,No
RM480,No
RM526,No
RM587,No
RM641,No
RM725,No
RM842,No
RM872,No
RM1026,No
RM1061,No
RM1062,No
RM1098,No
RM1169,No
RM1218,No
RM1223,No
RM1231,No
RM1246,No
RM1408,No
RM108,No
RM109,No
RM139,No
RM256,No
RM268,No
RM398,No
RM406,No
RM479,No
RM518,No
RM564,No
RM619,No
RM635,No
RM639,No
RM684,No
RM797,No
RM886,No
RM912,No
RM935,No
RM966,No
RM994,No
RM1004,No
RM1022,No
RM1175,No
RM1412,No
RM1414,No
RM1434,No
RM043,No
RM055,No
RM126,No
RM135,No
RM279,No
RM285,No
RM289,No
RM294,No
RM356,No
RM383,No
RM419,No
RM454,No
RM461,No
RM464,No
RM476,No
RM506,No
RM572,No
RM574,No
RM615,No
RM686,No
RM734,No
RM749,No
RM763,No
RM770,No
RM782,No
RM798,No
RM844,No
RM913,No
RM999,No
RM1005,No
RM1119,No
RM1207,No
RM1225,No
RM1298,No
RM1310,No
RM1350,No
RM1362,No
RM1387,No
RM1465,No
RM1465,No
RM005,No
RM042,No
RM044,No
RM162,No
RM165,No
RM171,No
RM192,No
RM201,No
RM213,No
RM319,No
RM321,No
RM332,No
RM340,No
RM374,No
RM486,No
RM496,No
RM513,No
RM522,No
RM531,No
RM538,No
RM555,No
RM577,No
RM611,No
RM616,No
RM671,No
RM718,No
RM740,No
